126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
126,240,240,134,134,240,240,240,134,240,134,240,240,240,126
126,240,126,126,126,134,240,134,134,126,134,134,126,134,126
126,240,134,134,134,134,240,134,126,134,134,134,126,240,126
126,134,134,240,240,126,126,134,240,134,134,134,134,134,126
126,240,240,126,134,134,240,134,134,134,134,240,126,240,126
126,240,134,126,134,134,240,134,126,240,126,126,134,240,126
126,134,134,126,240,134,126,134,240,134,134,134,134,240,126
126,134,134,134,134,240,126,134,240,134,126,126,126,240,126
126,240,240,126,126,134,134,134,134,134,240,240,134,134,126
126,240,134,134,134,240,134,134,240,126,126,134,134,240,126
126,134,134,126,126,126,134,134,240,240,134,134,126,134,126
126,134,240,134,134,126,126,134,134,134,134,126,126,240,126
126,240,240,240,240,134,240,134,134,134,134,134,240,240,126
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
